Timestamp,Which of these is your primary school?,What is your favorite class?,What genre of movies is your favorite?,How many hours did you sleep last night?,What would you guess is the average cost for a gallon of gas nationally?,How many siblings do you have?,Would you consider Elon a top choice for college?,Treat this question like a coin flip. Choose the option that appears first.,The U.S. Census Bureau conducts an annual survey called the American Community Survey. Would you guess that more or less than 95% of people respond to their survey?,What percentage of people would you estimate respond to the American Community Survey? Enter a whole number for your response (e.g. 95),"How much do you think the government spent conducting the 2020 U.S. Census? (e.g. $100,000,000,000)",What is your favorite type of dessert food?,Which North Carolina school's sports teams do you support most?,How important is it to you that your high school adds additional elective classes?,The U.S. Census Bureau conducts an annual survey called the American Community Survey. Would you guess that more or less than 5% of people respond to their survey?,What percentage of people would you estimate respond to the American Community Survey? Enter a whole number for your response (e.g. 5),"How much do you think the government spent conducting the 2020 U.S. Census? (e.g. $10,000,000)",What is your favorite type of dessert food?,Which North Carolina school's sports teams do you support most?,"How important is it to you that your high school adds additional elective classes? (such as Evolutionary Neurobiology, Complex Analysis, Intellectual History, etc.)",Do you think this survey was too long or are there changes you would make to it?
10/6/2023 10:26:43,Elon U,Classical Mythology ,Fantasy ,4 - 6,3.7,1,Yes,Tails,,,,,,,More than 5% of people respond,10,"13,000,000,000",icecream,NC State,4,Yes
10/6/2023 10:26:49,Elon U,Statistics,Comedy,4 - 6,$4,3,Yes,Tails,,,,,,,More than 5% of people respond,8,"15,000",cookies,Duke,5,No
10/6/2023 10:27:20,Elon U,stats,romance,6 - 8,3 dollars,1,Yes,Heads,Less than 95% of people respond,92,"$10,000,000",Cookies,Duke,3,,,,,,,No
10/6/2023 10:27:21,Elon U,Social psych,Romance,8 - 10,$4,1,Probably,Heads,Less than 95% of people respond,60,"20,000,000",Cookies,NC State,5,,,,,,,No
10/6/2023 10:27:32,Elon U,Statistics ,comedy ,Less than 4,2,1,Probably,Tails,,,,,,,Less than 5% of people respond,2,100000000,ice cream ,UNC,5,No
10/6/2023 10:27:39,Elon U,Economics,Adventure,6 - 8,3.25,2,I think so,Tails,,,,,,,More than 5% of people respond,8,"1,000,000,000",Ice cream,Duke,5,Yes
10/6/2023 10:30:06,Elon U,Marching Band (FOTC),Comedy,4 - 6,3.45,2,Yes,Heads,Less than 95% of people respond,43,"$100,000,000",Cookies,NC State,5,,,,,,,No
10/6/2023 12:30:17,Elon U,biology,romance,4 - 6,3.5,,I think so,Tails,,,,,,,More than 5% of people respond,27,"$5,000,000",pie,NC State,3,No
10/6/2023 12:31:13,Elon U,Intro global film/culture ,Comedy and RomCom ,6 - 8,5,3,Probably,Tails,,,,,,,Less than 5% of people respond,3,80 million,Apple Pie with vanilla icecream ,UNC,5,No
10/6/2023 12:31:34,Elon U,Psychology ,Romance ,6 - 8,3.43,1,Yes,Heads,Less than 95% of people respond,90,"3,000,000,000",Cookies,Duke,5,,,,,,,No
10/6/2023 12:32:27,Elon U,Psychology,Comedy,8 - 10,3.3,2,Probably,Tails,,,,,,,More than 5% of people respond,10,don't know,sugar cookies,Duke,4,No
10/6/2023 12:32:46,Elon U,Comparative politics,Action,6 - 8,$4,1,Yes,Heads,Less than 95% of people respond,35,"10,000,000,000",Cookies,Duke,2,,,,,,,No
10/6/2023 12:32:48,Elon U,Psychology,comedy,6 - 8,$4.00,3,Yes,Heads,More than 95% of people respond,97,"$100,000,000",Cookies,UNC,4,,,,,,,No
10/6/2023 12:36:16,Elon U,Sociology 1110,Romance,8 - 10,$3.60,1,Yes,Tails,,,,,,,More than 5% of people respond,10,"$12,000,000",ice cream,UNC,3,No
10/6/2023 13:28:15,Elon U,econ,comedy,4 - 6,$4.50,1,Yes,Tails,,,,,,,More than 5% of people respond,70,"$14,000,000",brownie,UNC,3,No
10/6/2023 13:29:17,Elon U,intro to sports mangement ,comedy,4 - 6,3.4,3,Yes,Tails,,,,,,,More than 5% of people respond,88,"120,000,000",brownie,Duke,4,Yes
10/6/2023 13:30:01,Elon U,Psychology,comedy,6 - 8,3.4,1,Probably,Heads,Less than 95% of people respond,61,"111,000,000,000",Cookies,UNC,5,,,,,,,No
10/6/2023 13:30:41,Elon U,stats,rom coms,6 - 8,i have no idea sorry,2,Yes,Tails,,,,,,,More than 5% of people respond,9,no clue,ice cream,Duke,5,Yes
10/6/2023 13:31:07,Elon U,BIO 1112,horror,6 - 8,6 dollars ,1,Yes,Tails,,,,,,,Less than 5% of people respond,4,1 billion,tiramisu ,UNC,2,No
10/6/2023 13:31:49,Elon U,Statistics ,Romance ,6 - 8,3.4,1,Yes,Tails,,,,,,,More than 5% of people respond,4,"100,000",Ice cream cake,Duke,5,No
10/6/2023 13:31:52,Elon U,Business Gateway,Comedy ,4 - 6,$3.20,2,Absolutely not,Tails,,,,,,,More than 5% of people respond,5,20 million ,cookies ,UNC,3,No
10/6/2023 13:31:53,Elon U,Psychology,comedy,6 - 8,3,2,Probably,Heads,Less than 95% of people respond,85,"200,000,000,000",Cookies,Duke,4,,,,,,,No
10/6/2023 13:31:54,Elon U,COR,comedy,Less than 4,3.75,,Yes,Heads,Less than 95% of people respond,65,"$10,000,000",Cake,UNC,4,,,,,,,No
10/6/2023 13:31:56,Elon U,Religion in a global context,Sci-fi,6 - 8,$4.60,2,Absolutely not,Tails,,,,,,,Less than 5% of people respond,5,"$20,000,000",Crème brûlée,Duke,4,No
10/6/2023 13:32:06,Elon U,stats,comedy,6 - 8,?,1,Yes,Tails,,,,,,,Less than 5% of people respond,6,?,ice cream,Duke,3,Yes
10/6/2023 13:32:07,Elon U,Intro to Public Health,comedy,6 - 8,5,1,Yes,Heads,Less than 95% of people respond,75,"8,000,000",Cake,UNC,5,,,,,,,Yes
10/6/2023 13:32:16,Elon U,Stat,Romantic Comedies,8 - 10,$6.00,2,I think so,Heads,Less than 95% of people respond,57,"20,000,000",Pie,Duke,3,,,,,,,Yes
10/6/2023 13:32:33,Elon U,Psych,Crime and Adventure,6 - 8,3.5,3,I think so,Tails,,,,,,,More than 5% of people respond,10,n/a,Bundt Cakes,Elon University,5,Yes
10/6/2023 13:32:56,Elon U,Intro to American politics,Action/adventure,6 - 8,6.25,1,Yes,Tails,,,,,,,More than 5% of people respond,25,"30,000,000",Ice Cream,i dont watch sports teams from America ,3,No
10/6/2023 13:33:16,Elon U,Intro to Statistics (1100),Sci-fy,8 - 10,4,,Probably,Heads,Less than 95% of people respond,30,"800,000,000",Cookies,Duke,3,,,,,,,Yes
10/6/2023 13:33:46,Elon U,Pol 3705,contemporary horror,8 - 10,3.5,1,I think so,Heads,Less than 95% of people respond,90,"100,000,000",Cookies,UNC,5,,,,,,,Yes
10/6/2023 13:33:54,Elon U,english writing & inquiry ,rom com or action,6 - 8,4$,1,Yes,Tails,,,,,,,More than 5% of people respond,30,idk,cookies,UNC,4,No
10/6/2023 13:34:00,Elon U,English 1100,Comedy/Action ,4 - 6,3.65,3,Probably,Tails,,,,,,,Less than 5% of people respond,20,"11,000,000",ice cream ,UNC,5,No
10/9/2023 17:41:57,Williams HS,HIS 131,Action ,6 - 8,$3.41,1,Absolutely not,Tails,,,,,,,Less than 5% of people respond,4,0,Cake ,UNC,1,Yes
10/9/2023 17:42:09,Williams HS,chemistry,horror,4 - 6,$3.58,1,Absolutely not,Heads,Less than 95% of people respond,100,"$1,000,000",Cake,Duke,1,,,,,,,Yes
10/9/2023 17:42:29,Williams HS,IB Biology or IB Theory of Knowledge ,Romcoms,Less than 4,$3.65,2,Absolutely not,Heads,Less than 95% of people respond,15,"$15,000,000",Pie,Duke,3,,,,,,,No
10/9/2023 17:42:30,Williams HS,Science,Comedy,6 - 8,4.5,1,Probably,Tails,,,,,,,Less than 5% of people respond,3,18000000,Cookie,UNC,5,No
10/9/2023 17:42:40,Williams HS,Math!,Horror,4 - 6,4.15,3,Absolutely not,Tails,,,,,,,More than 5% of people respond,65,18000,froyo,UNC,3,No
10/9/2023 17:43:11,Williams HS,History,Drama ,6 - 8,3,3,Absolutely not,Heads,Less than 95% of people respond,65,"1,000,000",Cake,Duke,5,,,,,,,No
10/9/2023 17:43:15,Williams HS,Calc,Action,6 - 8,5.35,1,Absolutely not,Tails,,,,,,,Less than 5% of people respond,3,"1,000,000",Brownies,NC State,3,No
10/9/2023 17:43:22,Williams HS,Orchestra class,Comedy,6 - 8,3.19,1,Absolutely not,Heads,Less than 95% of people respond,40,100 gajillion,Cookies,Duke,1,,,,,,,No
10/9/2023 17:43:22,Williams HS,Biology,Action,6 - 8,3.29,2,Absolutely not,Heads,Less than 95% of people respond,78,"$2,500,000",Cookies,UNC,3,,,,,,,No
10/9/2023 17:43:23,Williams HS,Theory of Knowledge ,rom com,4 - 6,3.5,,Absolutely not,Tails,,,,,,,More than 5% of people respond,17,"$16,000,000",ice cream,UNC,2,No
10/9/2023 17:43:32,Williams HS,Calculus,movies not in english if thats a genre,Less than 4,3.5,2,Absolutely not,Heads,Less than 95% of people respond,90,10000000000,Cake,UNC,1,,,,,,,No
10/9/2023 17:43:42,Williams HS,IB Theory of Knowledge,Romantic Comedy ,4 - 6,$3.66,1,Absolutely not,Tails,,,,,,,Less than 5% of people respond,4,"100,000,000",Ice Cream,NC State,5,No
10/9/2023 17:43:58,Williams HS,Science ,Comedy,4 - 6,4.25,1,I think so,Tails,,,,,,,Less than 5% of people respond,2,15000000,Chocolate,UNC,4,No
10/9/2023 17:44:03,Williams HS,I don’t know,Action,4 - 6, 3 dollars,2,I think so,Heads,Less than 95% of people respond,67,"500,000",Cookies,NC State,4,,,,,,,No
10/9/2023 17:44:16,Williams HS,Theory of Knowledge,Rom-Com,6 - 8,3.5,2,Absolutely not,Tails,,,,,,,Less than 5% of people respond,3,"10,000",Brownies,UNC,3,No
10/9/2023 17:44:16,Williams HS,Math,Romcom,4 - 6,3.57,2,I think so,Heads,Less than 95% of people respond,53,"254,000,000",Cookies,Duke,5,,,,,,,No
10/9/2023 17:44:18,Williams HS,AP psych,Comedy ,6 - 8,3.17,1,Yes,Tails,,,,,,,Less than 5% of people respond,200000,"30,000,000",Macaroons ,Duke,5,No
10/9/2023 17:44:27,Williams HS,Calculus,Inspirational Sports,8 - 10,4.19,2,Absolutely not,Heads,Less than 95% of people respond,4,"$1,500,000",Pie,NC State,4,,,,,,,Yes
10/9/2023 17:44:37,Williams HS,Calculus,Action,6 - 8,$3.55,1,Absolutely not,Heads,Less than 95% of people respond,34,"$1,500,200",Cake,NC State,5,,,,,,,Yes
10/9/2023 17:44:49,Williams HS,Math,Comedy,8 - 10,$3.95,2,Absolutely not,Tails,,,,,,,Less than 5% of people respond,4,"$5,000,000",chocolate pastry,Elon,3,No
10/9/2023 17:45:00,Williams HS,Biology,Romance,6 - 8,$3.50,1,Absolutely not,Heads,Less than 95% of people respond,50,"$500,000",Cookies,UNC,5,,,,,,,No
